sequence|thai|phonetic|description|desc-short|set|level|
5|ไม่เคยเป็นแบบนี้มาก่อน mâi-kəəi bpen bɛ̀ɛp-níi maa-gɔ̀ɔn|He|'s never (acted) like this before. / (It) didn't used to be that way. / (It)'s never been like that before.  |'s never (acted) like this bef|||
6|อย่าเรียกฉันว่า(ที่รัก) yàa rîak chǎn wâa|tîi-rák|Don't call me (darling/baby/honey).  |Don't call me (darling/baby/ho|||
7|ลองไปถามเขาดู lɔɔng bpai tǎam kǎo duu Try asking him. / Try and ask him. / Go ask him.  ||||||
8|ไม่เข้าใจอยู่ดี mâi-kâo-jai yùu-dii|I|still don't get it. / (I) still don't understand.  |still don't get it. / (I) stil|||
9|ถ้าสังเกตให้ดี... tâa sǎng-gèet hâi-dii... If|you|look at (it) carefully... / If (you) examine (them) carefully... /If (you) observe carefully...  |look at (it) carefully... / If|||
10|(มัน)ยากที่จะเดาได้(ว่า...)|man|yâak tîi-jà dao dâi (wâa...) It's difficult to guess (...)  |yâak tîi-jà dao dâi (wâa...) I|||
11|ถ้าฟังไม่ผิด... tâa fang mâi-pìt... If I didn't hear|you|wrong... / If I didn't misunderstand...  |wrong... / If I didn't misunde|||
12|ขอบคุณสำหรับกำลังใจนะคะ kɔ̀ɔp-kun sǎm-ràp gam-lang-jai ná-ká Thank you for your encouragement/support.  ||||||
13|ยินดีบริการครับ FORMAL yin-dii bɔɔ-rí-gaan kráp|We|'re happy to serve you. / (I)'m pleased to serve you.  |'re happy to serve you. / (I)'|||
14|ลืมตาได้แล้ว lʉʉm-dtaa dâi lɛ́ɛo You can open your eyes|now|. |. |||
15|ขอบคุณท่านมากครับ FORMAL kɔ̀ɔp-kun tân mâak kráp Thank you very much.|as said to someone with a higher rank/status  such as a monk, etc.|||||
16|ลงมือได้เลย long-mʉʉ dâi ləəi Do it. / Just do it. / Go ahead and do it.  ||||||
17|(มัน)ไม่สมบูรณ์|man|mâi sǒm-buun  (It)'s incomplete. / (It)'s imperfect.  |mâi sǒm-buun  (It)'s incomplet|||
18|มันมากเกินพอแล้ว man mâak-gəən pɔɔ-lɛ́ɛo It's more than enough. / That's more than sufficient.  ||||||
19|ไม่รู้เรื่องนี้เลย mâi-rúu-rʉ̂ang níi ləəi|I|don't know anything about it. / (I) didn't know anything  about that at all. |don't know anything about it. |||
20|มาดูเองดีกว่า maa duu eeng dii-gwàa|It's better if you|come and have a look for yourself. |come and have a look for yours|||
1|เขารับกรรมแล้ว kǎo ráp-gam lɛ́ɛo He paid the price. / He suffered the consequences. / He got what was coming to  him. / He got his Karma. / He met his fate. |Super Useful Expressions, Part 135  |mid-advanced level|mid-advanced level|||
2|เป็นคนเจ้าคิดเจ้าแค้น bpen kon jâo-kít-jâo-kɛ́ɛn|She|'s very vindictive! / (She)'s revengeful. / (She) likes to hold grudges. |'s very vindictive! / (She)'s |||
3|(กินมาม่า)ตั้งแต่เล็กจนโต SEMI-LITERARY|gin maa-mâa|dtâng-dtɛ̀ɛ lèk  jon dtoo (I've eaten Mama) from the time I was a kid until now. / (I've eaten Mama) all my  life. / (I've been eating Mama) since I was a kid.  |dtâng-dtɛ̀ɛ lèk  jon dtoo (I'v|||
4|พวกเขาหนีหัวซุกหัวซุน SEMI-LITERARY pûak-kǎo nǐi hǔa-súk-hǔa-sun They ran away in a rush. / They ran away like rats. / They ran like hell. ||||||
5|เปลืองน้ำลาย(เปล่าๆ) bplʉang nám-laai|bplàao-bplàao|(You)'re (just) wasting your breath!  |(You)'re (just) wasting your b|||
6|ดึก(ตื่น)ป่านนี้แล้ว(ยังไม่นอนอีกหรือ) dʉ̀k|dtʉ̀ʉn|bpàan-níi lɛ́ɛo (yang mâi nɔɔn ìik rʉ̌ʉ) This late at night (and you still haven't gone to bed)? / It's late(you're still not in  bed)?  |bpàan-níi lɛ́ɛo (yang mâi nɔɔn|||
7|ขอบคุณที่อุตส่าห์มาหา kɔ̀ɔp-kun tîi ùt-sàa maa hǎa Thank you for coming all the way to see me. / Thank you for going to the trouble  to meet me. ||||||
8|เขาทำพิธีสะเดาะเคราะห์ kǎo tam pí-tii-sà-dɔ̀-krɔ́ He had a ceremony to get rid of his bad luck. ||||||
9|มันคุ้มค่าเหนื่อย man kúm-kâa nʉ̀ai It's worth the effort. / The wages are worth it. ||||||
10|...แต่ไหนแต่ไรแล้ว LITERARY ...dtɛ̀ɛ-nǎi-dtɛ̀ɛ-rai lɛ́ɛo ...from time immemorial. / ... all along. /|It|always...  |always...  |||
11|...ต้องเจอแบบนี้แหละ ...dtɔ̂ng jəə bɛ̀ɛp-níi lɛ̀ That's what you get when you... / This is what you have to go through for...|shows consequence from doing something bad|||||
12|ต้องยกประโยชน์ให้(จำเลย) dtɔ̂ng yók-bprà-yòot hâi|jam-ləəi|You have to give (the defendant) the benefit of the doubt. (He might be lying but  we have to accept what he says for now.) |You have to give (the defendan|||
13|ไม่รู้ว่าจะเป็นตายร้ายดีอย่างไร IDIOMATIC mâi-rúu wâa jà bpen dtaai ráai  dii yàang-rai I don't know if he's dead or alive.  ||||||
14|(กำลัง)ตกที่นั่งลำบาก SEMI-LITERARY|gam-lang|dtòk tîi-nâng-lam bàak (He)'s in big trouble. / (He)'s in deep shit. / (He)'s in a very difficult situation. |dtòk tîi-nâng-lam bàak (He)'s |||
15|รักษาเนื้อรักษาตัวดีๆ/ด้วย LITERARY rák-sǎa-nʉ̌a rák-sǎa-dtua dii-dii/ dûai Take|good|care of yourself.  |care of yourself.  |||
16|(มัน)ยังไงกันเนี่ย STRONG/IDIOMATIC|man|yang-ngai gan nîa What the hell (is this)?! / What on earth (is this)?! / What the hell is going on?!  |yang-ngai gan nîa What the hel|||
17|ไม่เป็นอันกินอันนอน LITERARY/IDIOMATIC mai-bpen-an-gin-an-nɔɔn|I|can't eat at all or sleep a wink. (due to anxiety) |can't eat at all or sleep a wi|||
18|ปากกับใจไม่ตรงกัน bpàak gàp jai mâi-dtrong-gan What you say is not really how you feel. / Your words don't match your feelings.  ||||||
19|ผม(มีส่วน)ผิดด้วย(เหมือนกัน) pǒm|mii sùan|pìt dûai (mʉ̌an-gan) I'm at fault too. / It's (partly) my fault too.  |pìt dûai (mʉ̌an-gan) I'm at fa|||
20|ในเรื่องร้ายยังมีเรื่องดี IDIOM nai rʉ̂ang-ráai yang mii rʉ̂ang-dii Every cloud has a silver lining.||||||
1|ฝากความคิดถึงด้วยนะคะ FORMAL fàak kwaam-kít-tʉ̌ng dûai ná-ká Send|her|my regards. / Please send (her) my regards. |my regards. / Please send (her|Super Useful Expressions, Part 136  |low-advanced level|
2|เข็ดแล้ว kèt lɛ́ɛo I've learned my lesson!|afraid to make the same mistake again|||||
3|ไม่เชื่อก็เรื่องของมึง STRONG/ANGRY mâi-chʉ̂a gɔ̂ɔ rʉ̂ang kɔ̌ɔng mʉng If you don't believe me, up to you! / Well, that's your business if you don't believe  me!  ||||||
4|เขาเป็นผู้สมรู้ร่วมคิด kǎo bpen pûu-sǒm-rúu-rûam-kít He was an accomplice. / He was in on it|too|. / He was an accessory. |. / He was an accessory. |||
5|เวรกรรมมีจริง ween-gam mii-jing Karma is real. / What goes around comes around.  ||||||
6|เรื่องจริงเป็นไง INFORMAL rʉ̂ang-jing bpen-ngai What's the truth? / What really happened?  ||||||
7|อะไรจะเกิดมันต้องเกิด à-rai jà gə̀ət man dtɔ̂ng gə̀ət Whatever happens, happens. / Whatever will be will be.  ||||||
8|รอจังหวะดี(ๆ) rɔɔ jang-wà dii-(dii) Wait for the right moment. / Wait until the timing's right. / Wait for a good chance.  ||||||
9|ไม่น่าเป็นไปได้ mâi-nâa bpen-bpai-dâi That's not possible. / How could that be? / That's unlikely.  ||||||
10|หลง(รัก)หัวปักหัวป lǒng|rák|hǔa-bpàk hǔa-bpam (Fall) head over heels in love.  |hǔa-bpàk hǔa-bpam (Fall) head |||
11|ราคาเป็นกันเอง raa-kaa bpen-gan-eengThe prices are reasonable.|not expensive|Note: เป็นกันเอง (bpen-gan-eeng) means friendly or amicable.  |Note: เป็นกันเอง (bpen-gan-een|||
12|(ฝาก)ดูแลเขาแทนฉัน(ด้วย)|fàak|duu-lɛ̀ɛ kǎo tɛɛn chǎn (dûai) Take care of her for me. / Look after him for me.  |duu-lɛ̀ɛ kǎo tɛɛn chǎn (dûai) |||
13|มันคงเป็นไปได้ยาก man kong bpen-bpai-dâi yâak It will/would be very difficult.  ||||||
14|จู่ๆก็โผล่มา jùu-jùu gɔ̂ɔ plòo-maa|She|suddenly shows/showed up.  Note: จู่ๆ (jùu-jùu) is technically pronounced with a long vowel, but in  reality it's often cut to a short vowel.  |suddenly shows/showed up.  Not|||
15|จะให้บอก(เขา)ว่ายังไง(ดี) jà hâi bɔ̀ɔk kǎo wâa yang-ngai(dii) What do you want me to tell him/her?  ||||||
16|จะจำเอาไว้ jà jam ao-wái|I|'ll keep that in mind. / I'll remember (what you told me).  |'ll keep that in mind. / I'll |||
17|ไม่มีเหตุผลอื่น mâi-mii hèet-pǒn ʉ̀ʉn There's no other reason. ||||||
18|เงิน(ทอง)มันหายาก ngən(tɔɔng) man hǎa-yâak Money doesn't grow on trees. / It's hard to make money. ||||||
19|ไม่ได้หวังอะไรมาก mâi-dâi wǎng à-rai mâak|I|don't expect a lot. / (I)'m not hoping for a lot.  |don't expect a lot. / (I)'m no|||
20|แค่นี้จริงๆ หรือ kɛ̂ɛ-níi jing-jing rʉ̌ʉ Is that really all it is? / Is that really all there is?  ||||||
1|ภาษา(ใต้)เรียกว่าอะไร paa-sǎa|dtâai|rîak-wâa à-rai What do you call that in (Southern) Dialect? / How do you say that in (Southern)  Dialect? |rîak-wâa à-rai What do you cal|Super Useful Expressions, Part 137  |low-intermediate level|
2|พูดมาเลย INFORMAL pûut maa ləəi Say it. / Tell me what what you wanna say.  ||||||
3|หนูทำอย่างนั้นไม่ได้ nǔu tam yàang-nán mâi-dâi I can't do that!  ||||||
4|ฉันเข้าใจความรู้สึก(ของ)คุณ chǎn kâo-jai kwaam-rúu-sʉ̀k|kɔ̌ɔng|kun I understand how you feel. / I understand your feelings.  |kun I understand how you feel.|||
5|เขาขี้เหนียว kǎo kîi-nǐao He's stingy. / He's cheap.  ||||||
6|กลั้นหายใจ glân hǎai-jai Hold your breath.  ||||||
7|ผมกลัวเข็ม pǒm glua kěm I'm afraid of needles. ||||||
8|ไม่ยอมไปหาหมอ mâi-yɔɔm bpai-hǎa mɔ̌ɔ|He|won't go to the doctor. / (He) refuses to go see a doctor.  |won't go to the doctor. / (He)|||
9|(มัน)น่าอาย|man|nâa-aai It's embarrassing! / It's shameful! / It's humiliating!  |nâa-aai It's embarrassing! / I|||
10|นี่เป็นครั้งแรกที่... nîi bpen kráng-rɛ̂ɛk tîi... This is the first time I've...  ||||||
11|คิดถึงเหมือนกัน kít-tʉ̌ng mʉ̌an-gan I miss you too. / I miss him too.  ||||||
12|จะให้ฉันทำอะไร jà hâi chǎn tam à-raiWhat do you want me to do? / What am I supposed to do?  ||||||
13|น่าเกลียด nâa-glìat So ugly! / He's ugly! / That's disgusting!  ||||||
14|หนูยุ่งมากเลย nǔu yûng mâak ləəi I'm really busy. / I've been really busy. ||||||
15|(งั้น)ฉันวางไว้ตรงนี้(นะ)|ngán|chǎn waang wái dtrong-níi (ná) (Then) I'll leave it right here. / (Okay then) I'll set it over here.  |chǎn waang wái dtrong-níi (ná)|||
16|คิดแล้วเศร้า kít lɛ́ɛo sâo When I think about it, it makes me sad.  ||||||
17|กำลังนิยมกัน gam-lang ní-yom gan It's popular/fashionable.  ||||||
18|(ความรัก)ไม่มีวันตาย|kwaam-rák|mâi-mii-wan dtaai (Love) never dies. / (Love) is immortal.  |mâi-mii-wan dtaai (Love) never|||
19|ขอเข้าไปได้ไหมครับ kɔ̌ɔ kâo-bpai dâi-mǎi kráp May I come in?  ||||||
20|จะออกไปไหน jà ɔ̀ɔk bpai-nǎi Where are you off to? / Where are you going?|said when seeing someone  about to go out|||||
1|รับรอง(ได้เลยว่า)... ráp-rɔɔng|dâi ləəi wâa|... I guarantee you... / I assure you... |... I guarantee you... / I ass|Super Useful Expressions, Part 138  |high-intermediate level|
2|เป็นลูกบุญธรรม bpen lûuk-bun-tam|He|'s adopted. / (He)'s an adopted child. |'s adopted. / (He)'s an adopte|||
3|ลุย(เลย) INFORMAL lui|ləəi|Go for it! / Go! / Do it!  |Go for it! / Go! / Do it!  |||
4|ยังไม่รู้มันคืออะไร yang mâi-rúu man kʉʉ à-rai|We|still not know what it is. / (We) don't know what it is yet.  |still not know what it is. / (|||
5|มันเป็นความลับสุดยอด man bpen kwaam-láp sùt-yɔ̂ɔt It's top secret.  ||||||
6|ห้ามให้ใครรู้เด็ดขาด hâam hâi krai rúu dèt-kàat|Definitely|don't let anyone know!!  Note: เด็ดขาด (dèt-kàat) can be translated here in various ways. The core  meaning is absolute(ly), definite(ly) or decisive(ly).  |don't let anyone know!!  Note:|||
7|ตั้งใจทำเต็มที่(แล้ว) dtâng-jai tam dtem-tîi|lɛ́ɛo|(I) did my best. |(I) did my best. |||
8|เขาทำผิดอะไร kǎo tam-pìt à-rai What did he do|wrong|? / What is he guilty of?  |? / What is he guilty of?  |||
9|ฉันใช้เวลาส่วนใหญ่กับ(ครอบครัว) chǎn chái-wee-laa sùan-yài gàp|krɔ̂ɔp-krua|I spend/spent most of my time with/on (my family).  |I spend/spent most of my time |||
10|ถูกใช้อย่างกว้างขวาง tùuk chái yàang-gwâang-kwǎang|It|'s widely used. / (It)'s used extensively.  |'s widely used. / (It)'s used |||
11|ถ้าถามก็บอกว่า... tâa tǎam gɔ̂ɔ bɔ̀ɔk wâa... If|she|asks, then tell (her)... |asks, then tell (her)... |||
12|(...)ถ้าไม่อยากเดือดร้อน(...)|...|tâa mâi yàak dʉ̀at-rɔ́ɔn (...) (...)if you don't want trouble(...)  |tâa mâi yàak dʉ̀at-rɔ́ɔn (...)|||
